INPUTA,INPUTB,OUTPUTA,OUTPUTB,
J0LDP40AH003YB01,J0LDP40AH003YB02,J0LDP40AH003XB01_SIM,J0LDP40AH003XB02_SIM,热水箱加热器3
J0LDP40AH004YB01,J0LDP40AH004YB02,J0LDP40AH004XB01_SIM,J0LDP40AH004XB02_SIM,热水箱加热器4
J0QCD22AP001YB01,J0QCD22AP001YB02,J0QCD22AP001XB01_SIM,,B给水加氨计量泵
J0QCD25AP001YB01,J0QCD25AP001YB02,J0QCD25AP001XB01_SIM,,B凝结水加氨计量泵
J0QCA22AP001YB01,J0QCA22AP001YB02,J0QCA22AP001XB01_SIM,,B给水加除氧剂计量泵
J0LDR12AP001YB01,J0LDR12AP001YB02,J0LDR12AP001XB01_SIM,J0LDR12AP001XB02_SIM,B再生废水泵
J0LDC22AN001YB01,J0LDC22AN001YB02,J0LDC22AN001XB01_SIM,J0LDC22AN001XB02_SIM,B罗茨风机
J0LDP22AP001YB01,J0LDP22AP001YB02,J0LDP22AP001XB01_SIM,J0LDP22AP001XB02_SIM,B冲洗水泵
J0LDP32AP001YB01,J0LDP32AP001YB02,J0LDP32AP001XB01_SIM,J0LDP32AP001XB02_SIM,B反洗水泵
J0LDN22AP001YB01,J0LDN22AP001YB02,J0LDN22AP001XB01_SIM,J0LDN22AP001XB02_SIM,B卸酸泵
J0LDN52AP001YB01,J0LDN52AP001YB02,J0LDN52AP001XB01_SIM,J0LDN52AP001XB02_SIM,B卸碱泵
J0LDN42AP001YB01,J0LDN42AP001YB02,J0LDN42AP001XB01_SIM,J0LDN42AP001XB02_SIM,B酸计量泵
J0LDN72AP001YB01,J0LDN72AP001YB02,J0LDN72AP001XB01_SIM,J0LDN72AP001XB02_SIM,B碱计量泵
J0QCD28AP001YB01,J0QCD28AP001YB02,J0QCD28AP001XB01_SIM,,B闭冷水加氨计量泵
J0QCD12AM001YB01,J0QCD12AM001YB02,J0QCD12AM001XB01_SIM,,B氨溶液箱搅拌电机
J0QCA12AM001YB01,J0QCA12AM001YB02,J0QCA12AM001XB01_SIM,,B除氧剂溶液箱搅拌电机
JOQGF01KN002YB01,,JOQGF01KN002XB01_SIM,,2号空压机
JOQGF01AA402YB01,,,,2号空压机排污阀
,20QGF12AA003YB02,,,2号机组给水加氧电磁阀
,20QGF11AA003YB02,,,2号机组凝结水加氧电磁阀
,20QGF13AA003YB02,20QGF13AA003XB01_SIM,20QGF13AA003XB02_SIM,2号机组高加疏水加氧电动阀
J0QCD22AA004YB01,J0QCD22AA004YB02,J0QCD22AA004XB01_SIM,J0QCD22AA004XB02_SIM,B给水加氨计量泵出口阀
J0QCD25AA004YB01,J0QCD25AA004YB02,J0QCD25AA004XB01_SIM,J0QCD25AA004XB02_SIM,B凝结水加氨计量泵出口阀
J0QCA22AA004YB01,J0QCA22AA004YB02,J0QCA22AA004XB01_SIM,J0QCA22AA004XB02_SIM,B给水加除氧剂计量泵出口阀
J0QCD12AA006YB01,J0QCD12AA006YB02,J0QCD12AA006XB01_SIM,J0QCD12AA006XB02_SIM,B氨溶液箱进水阀
J0QCD12AA002YB01,J0QCD12AA002YB02,J0QCD12AA002XB01_SIM,J0QCD12AA002XB02_SIM,B氨溶液箱进药阀
J0QCD12AA012YB01,J0QCD12AA012YB02,J0QCD12AA012XB01_SIM,J0QCD12AA012XB02_SIM,B氨溶液箱出口阀
J0QCD28AA004YB01,J0QCD28AA004YB02,J0QCD28AA004XB01_SIM,J0QCD28AA004XB02_SIM,B闭冷水加氨计量泵出口阀
J0QCA12AA006YB01,J0QCA12AA006YB02,J0QCA12AA006XB01_SIM,J0QCA12AA006XB02_SIM,B除氧剂溶液箱进水阀
J0QCA12AA002YB01,J0QCA12AA002YB02,J0QCA12AA002XB01_SIM,J0QCA12AA002XB02_SIM,B除氧剂溶液箱进药阀
J0QCA12AA010YB01,J0QCA12AA010YB02,J0QCA12AA010XB01_SIM,J0QCA12AA010XB02_SIM,B除氧剂溶液箱出口阀
J0LDP11AA001YB01,,J0LDP11AA001XB01_SIM,J0LDP11AA001XB02_SIM,SPT树脂分离塔树脂进口门
J0LDP11AA002YB01,,J0LDP11AA002XB01_SIM,J0LDP11AA002XB02_SIM,SPT树脂分离塔阳树脂出口门
J0LDP11AA007YB01,,J0LDP11AA007XB01_SIM,J0LDP11AA007XB02_SIM,SPT树脂分离塔阴树脂输送门
J0LDP11AA005YB01,,J0LDP11AA005XB01_SIM,J0LDP11AA005XB02_SIM,SPT树脂分离塔反洗进水门
J0LDP11AA401YB01,,J0LDP11AA401XB01_SIM,J0LDP11AA401XB02_SIM,SPT树脂分离塔反洗出水门
J0LDP11AA003YB01,,J0LDP11AA003XB01_SIM,J0LDP11AA003XB02_SIM,SPT树脂分离塔上部进水门
J0LDP11AA402YB01,,J0LDP11AA402XB01_SIM,J0LDP11AA402XB02_SIM,SPT树脂分离塔底部排水门
J0LDP11AA008YB01,,J0LDP11AA008XB01_SIM,J0LDP11AA008XB02_SIM,SPT树脂分离塔进气门
J0LDP11AA501YB01,,J0LDP11AA501XB01_SIM,J0LDP11AA501XB02_SIM,SPT树脂分离塔排气门
J0LDP11AA009YB01,,J0LDP11AA009XB01_SIM,J0LDP11AA009XB02_SIM,SPT树脂分离塔空气擦洗门
J0LDP12AA002YB01,,J0LDP12AA002XB01_SIM,J0LDP12AA002XB02_SIM,ART阴树脂再生塔树脂出口门
J0LDP12AA001YB01,,J0LDP12AA001XB01_SIM,J0LDP12AA001XB02_SIM,ART阴树脂再生塔上部进水门
J0LDP12AA005YB01,,J0LDP12AA005XB01_SIM,J0LDP12AA005XB02_SIM,ART阴树脂再生塔反洗进水门
J0LDP12AA403YB01,,J0LDP12AA403XB01_SIM,J0LDP12AA403XB02_SIM,ART阴树脂再生塔底部出水门
J0LDP12AA003YB01,,J0LDP12AA003XB01_SIM,J0LDP12AA003XB02_SIM,ART阴树脂再生塔空气擦洗门
J0LDP12AA007YB01,,J0LDP12AA007XB01_SIM,J0LDP12AA007XB02_SIM,ART阴树脂再生塔进气门
J0LDP12AA501YB01,,J0LDP12AA501XB01_SIM,J0LDP12AA501XB02_SIM,ART阴树脂再生塔排气门
J0LDP12AA006YB01,,J0LDP12AA006XB01_SIM,J0LDP12AA006XB02_SIM,ART阴树脂再生塔进碱门
J0LDP12AA402YB01,,J0LDP12AA402XB01_SIM,J0LDP12AA402XB02_SIM,ART阴树脂再生塔废液出口门
JOLDP12AA601YB01,,,,ART阴树脂再生塔出口取样阀
