INPUTA,INPUTB,OUTPUTA,OUTPUTB
00ESA01AE001VO,00ESA01AE001VC,00ESA01AE001ZO_SIM,00ESA01AE001ZR_SIM
00ESA01AA101VO,00ESA01AA101VC,00ESA01AA101ZO_SIM,00ESA01AA101ZR_SIM
00ESB01AF001VO,00ESB01AF001VC,00ESB01AF001ZO_SIM,00ESB01AF001ZT_SIM
00ESB01AF001MS,00ESB01AF001MD,00ESB01AF001ZS_SIM,00ESB01AF001ZR_SIM
00ESS02AN001MS,00ESS02AN001MD,00ESS02AN001ZS_SIM,00ESS02AN001ZR_SIM
00ESB01AF005MS,00ESB01AF005MD,00ESB01AF005ZS_SIM,00ESB01AF005ZR_SIM
00ESA01AE002VO,00ESA01AE002VC,00ESA01AE002ZO_SIM,00ESA01AE002ZR_SIM
00ESA01AA102VO,00ESA01AA102VC,00ESA01AA102ZO_SIM,00ESA01AA102ZR_SIM
00ESB01AF002VO,00ESB01AF002VC,00ESB01AF002ZO_SIM,00ESB01AF002ZT_SIM
00ESB01AF002MS,00ESB01AF002MD,00ESB01AF002ZS_SIM,00ESB01AF002ZR_SIM
00ESS02AN002MS,00ESS02AN002MD,00ESS02AN002ZS_SIM,00ESS02AN002ZR_SIM
00ESB01AF006AMS,00ESB01AF006AMD,00ESB01AF006AZS_SIM,00ESB01AF006AZR_SIM
00ESB01AF006AMZ,00ESB01AF006AMD,00ESB01AF006AZO_SIM,00ESB01AF006AZR_SIM
00ESB01AF006BMS,00ESB01AF006BMD,00ESB01AF006BZS_SIM,00ESB01AF006AZR_SIM
00ESB01AF006BMZ,00ESB01AF006BMD,00ESB01AF006BZO_SIM,00ESB01AF006AZR_SIM
00ESA01AA103VO,00ESA01AA103VC,00ESA01AA103ZO_SIM,00ESA01AA103ZR_SIM
00ESB01AF003VO,00ESB01AF003VC,00ESB01AF003ZO_SIM,00ESB01AF003ZT_SIM
00ESB01AF003MS,00ESB01AF003MD,00ESB01AF003ZS_SIM,00ESB01AF003ZR_SIM
00ESB01AF004VO,00ESB01AF004VC,00ESB01AF004ZO_SIM,00ESB01AF004ZT_SIM
00ESB01AF004MS,00ESB01AF004MD,00ESB01AF004ZS_SIM,00ESB01AF004ZR_SIM
00ESA01AF001AMS,00ESA01AF001AMD,00ESA01AF001AZS_SIM,00ESA01AF001AZR_SIM
00ESA01AF001BMS,00ESA01AF001BMD,00ESA01AF001BZS_SIM,00ESA01AF001AZR_SIM
00ESA01AF001CMS,00ESA01AF001CMD,00ESA01AF001CZS_SIM,00ESA01AF001CZR_SIM
00ESA01AF001DMS,00ESA01AF001DMD,00ESA01AF001DZS_SIM,00ESA01AF001CZR_SIM
00ESA01AF001EMS,00ESA01AF001EMD,00ESA01AF001EZS_SIM,00ESA01AF001CZR_SIM
00ESS03AA001VO,00ESS03AA001VC,00ESS03AA001ZS_SIM,00ESS03AA001RM_SIM
00ESS03AP001MS,00ESS03AP001MD,00ESS03AP001ZS_SIM,00ESS03AP001RM_SIM
00ESS04AA001VO,00ESS04AA001VC,00ESS04AA001ZS_SIM,00ESS04AA001RM_SIM
00ESS04AP001MS,00ESS04AP001MD,00ESS04AP001ZS_SIM,00ESS04AP001RM_SIM
