INPUTA,OUTPUTA
K0GDB61AP001YQ01,K0GDB61AP001XQ02_SIM
K0GDS11AP001YQ01,K0GDS11AP001XQ02_SIM
K0GDS13AP001YQ01,K0GDS13AP001XQ02_SIM
K0GDS31AP001YQ01,K0GDS31AP001XQ02_SIM
K0GDN31AP001YQ01,K0GDN31AP001XQ01_SIM
K0GDN34AP001YQ01,K0GDN34AP001XQ01_SIM
K0GDB33AM002YQ01,K0GDB33AM002XQ02_SIM
K0GDB31AM002YQ01,K0GDB31AM002XQ02_SIM
K0GDP41AP001YQ01,K0GDP41AP001XQ02_SIM
K0GDP44AP001YQ01,K0GDP44AP001XQ02_SIM
K0GDB31AA002YQ01,K0GDB31AA002XQ01_SIM
K0GDP31AP001YQ01,K0GDP31AP001XQ02_SIM
K0GDP34AP001YQ01,K0GDP34AP001XQ02_SIM
K0GDP23AP001YQ01,K0GDP23AP001XQ02_SIM
K0GDP21AP001YQ01,K0GDP21AP001XQ02_SIM
K0GDP11AP001YQ01,K0GDP11AP001XQ02_SIM
K0GDP13AP001YQ01,K0GDP13AP001XQ02_SIM
