SHEETNAME,OUTNAME,INNAME,DPUNUM,SHEETNUM,MLNAME,MANAME,MAOUT,SETSP,SETPV,MAAUTO,MAGP
SH020_SPT底部进水流量调节门,K0LDP11AA005XQ01,K0LDP11AA005YQ01,4,20,A04ML020A,A04MA020A,A04MA020AO,A04M020SP,A04M020PV,D04M020_AUTO,G04P020MRE
SH025_热水箱三通流量调节门,K0LDT10AA002XQ01,K0LDT10AA002YQ01,4,25,A04ML025A,A04MA025A,A04MA025AO,A04M025SP,A04M025PV,D04M025_AUTO,G04P025MRE
SH030_A给水加氨计量泵,K0QCD41AP001XQ01,K0QCD41AP001YQ01,4,30,A04ML030A,A04MA030A,A04MA030AO,A04M030SP,A04M030PV,D04M030_AUTO,G04P030MRE
SH035_B给水加氨计量泵,K0QCD42AP001XQ01,K0QCD42AP001YQ01,4,35,A04ML035A,A04MA035A,A04MA035AO,A04M035SP,A04M035PV,D04M035_AUTO,G04P035MRE
SH040_C给水加氨计量泵,K0QCD43AP001XQ01,K0QCD43AP001YQ01,4,40,A04ML040A,A04MA040A,A04MA040AO,A04M040SP,A04M040PV,D04M040_AUTO,G04P040MRE
SH045_A凝结水加氨计量泵,K0QCD44AP001XQ01,K0QCD44AP001YQ01,4,45,A04ML045A,A04MA045A,A04MA045AO,A04M045SP,A04M045PV,D04M045_AUTO,G04P045MRE
SH050_B凝结水加氨计量泵,K0QCD45AP001XQ01,K0QCD45AP001YQ01,4,50,A04ML050A,A04MA050A,A04MA050AO,A04M050SP,A04M050PV,D04M050_AUTO,G04P050MRE
SH055_C凝结水加氨计量泵,K0QCD46AP001XQ01,K0QCD46AP001YQ01,4,55,A04ML055A,A04MA055A,A04MA055AO,A04M055SP,A04M055PV,D04M055_AUTO,G04P055MRE
SH020_3号机过滤器单元电动旁路门,30LDK10AA101XQ01,30LDK10AA101YQ01,5,20,A05ML020A,A05MA020A,A05MA020AO,A05M020SP,A05M020PV,D05M020_AUTO,G05P020MRE
SH030_3号机混床单元电动旁路门,30LDK20AA101XQ01,30LDK20AA101YQ01,5,30,A05ML030A,A05MA030A,A05MA030AO,A05M030SP,A05M030PV,D05M030_AUTO,G05P030MRE
SH020_4号机过滤器单元电动旁路门,40LDK10AA101XQ01,40LDK10AA101YQ01,6,20,A06ML020A,A06MA020A,A06MA020AO,A06M020SP,A06M020PV,D06M020_AUTO,G06P020MRE
SH030_4号机混床单元电动旁路门,40LDK20AA101XQ01,40LDK20AA101YQ01,6,30,A06ML030A,A06MA030A,A06MA030AO,A06M030SP,A06M030PV,D06M030_AUTO,G06P030MRE
SH020_A尿素水解反应器产品气出口调节阀,K0HSU31AA101XQ01,K0HSU31AA101YQ01,7,20,A07ML020A,A07MA020A,A07MA020AO,A07M020SP,A07M020PV,D07M020_AUTO,G07P020MRE
SH025_A尿素水解反应器液位调节阀,K0HSJ31AA101XQ01,K0HSJ31AA101YQ01,7,25,A07ML025A,A07MA025A,A07MA025AO,A07M025SP,A07M025PV,D07M025_AUTO,G07P025MRE
SH030_A尿素水解反应器压力调节阀,K0HSJ41AA101XQ01,K0HSJ41AA101YQ01,7,30,A07ML030A,A07MA030A,A07MA030AO,A07M030SP,A07M030PV,D07M030_AUTO,G07P030MRE
SH035_尿素溶液输送泵A,K0HSJ20AP001XQ01,K0HSJ20AP001YQ01,7,35,A07ML035A,A07MA035A,A07MA035AO,A07M035SP,A07M035PV,D07M035_AUTO,G07P035MRE
SH040_A尿素溶液A混合泵,K0HSJ11AP001XQ02,K0HSJ11AP001YQ01,7,40,A07ML040A,A07MA040A,A07MA040AO,A07M040SP,A07M040PV,D07M040_AUTO,G07P040MRE
