selected,Action,Record,PntName,PntType,DataType,Domain,Drop,Control,Description,Character,Unit,Set,Reset,FC,Location,Channel,ChType,IRefNum,ORefNum,Security,BD,EvHigh,EvLow,InitAS,InitAS2,InitValue,DpuSave,History,MathDeal,ValueLimit,Filter,SOE,Reverse,HSRDB,SendAlarm,SHighAlarm,SLowAlarm,HighSetAlarm,LowResetAlarm,AlarmDB,HighLimit,LowLimit,HAlarmAddr,LAlarmAddr,SensorType,SensorParam,C0,C1,C2,C3,C4,C5,SensorHigh,SensorLow,FilterFactor,HighAlarmPriority,LowAlarmPriority
选中,动作,记录类型,点名,类型,数据类型,域,站,控制区,描述,特征字,工程单位,1描述,描述,功能分类,卡位,通道,通道类型,输入引用计数,输出引用计数,安全字,周期,量程上限,量程下限,初始状态字1,初始状态字2,初始值,定时保存,保存历史,信号处理方式,限值检查,滤波处理,SOE,反相,历史死区,发送报警,传感器高限报警,传感器低限报警,高限/1报警,低限/0报警,报警死区,报警上限,报警下限,变上限报警,变下限报警,传感器类型,传感器参数,C0,C1,C2,C3,C4,C5,传感器上限,传感器下限,滤波因子,高限/1报警优先级,低限/0报警优先级
Y,addUpdate,Point,DPU02TEMP,AP,Float32,43,2,1,DPU02内部温度,,,,,,,,,,2,x01,1,100,,x00,x00,,,1,,,,,,.5,,,,,,,100,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU02LOAD,AP,Float32,43,2,1,DPU02内部负荷,,,,,,,,,,1,x01,1,100,,x00,x00,,,1,,,,,,.5,,,,,,,100,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU02GP1,GP,Gp,43,2,1,,,,,,,,,,,2,x01,1,,,x00,x00,x00,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU02GP2,GP,Gp,43,2,1,,,,,,,,,,,6,x01,1,,,x00,x00,x00,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU02NETATXLOAD,AP,Float32,43,2,1,DPU02A网发送负荷,,,,,,,,,,1,x01,1,100,,x00,x00,,,1,,,,,,.5,,,,,,,100,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU02NETARXLOAD,AP,Float32,43,2,1,DPU02A网接收负荷,,,,,,,,,,1,x01,1,100,,x00,x00,,,1,,,,,,.5,,,,,,,100,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU02NETBTXLOAD,AP,Float32,43,2,1,DPU02B网发送负荷,,,,,,,,,,1,x01,1,100,,x00,x00,,,1,,,,,,.5,,,,,,,100,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU02NETBRXLOAD,AP,Float32,43,2,1,DPU02B网接收负荷,,,,,,,,,,1,x01,1,100,,x00,x00,,,1,,,,,,.5,,,,,,,100,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU02NETATXLOADALM,DP,Digital,43,2,1,DPU02A网发送负荷报警,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU02NETARXLOADALM,DP,Digital,43,2,1,DPU02A网接收负荷报警,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU02NETBTXLOADALM,DP,Digital,43,2,1,DPU02B网发送负荷报警,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU02NETBRXLOADALM,DP,Digital,43,2,1,DPU02B网接收负荷报警,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU02MEM,AP,Float32,43,2,1,DPU02内存使用率,,,,,,,,,,1,x01,1,100,,x00,x00,,,1,,,,,,.5,,,,,,,100,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU02DISK,AP,Float32,43,2,1,DPU02磁盘剩余空间,,,,,,,,,,1,x01,1,100,,x00,x00,,,1,,,,,,.5,,,,,,,100,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU02MEM_H,DP,Digital,43,2,1,DPU02内存高报警,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU02IOBUS,GP,Gp,43,2,1,,,,,,,,,,,15,x01,1,,,x00,x00,x00,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU02_OFF,DP,Digital,43,2,1,DPU02离线,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU02_NETA_F,DP,Digital,43,2,1,DPU02A网故障,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU02_NETB_F,DP,Digital,43,2,1,DPU02B网故障,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU02_MASTER,DP,Digital,43,2,1,DPU02在主控,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU02TEMPH1,DP,Digital,43,2,1,DPU02温度高报警,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU62TEMP,AP,Float32,43,2,1,DPU62内部温度,,,,,,,,,,2,x01,1,100,,x00,x00,,,1,,,,,,.5,,,,,,,100,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU62LOAD,AP,Float32,43,2,1,DPU62内部负荷,,,,,,,,,,1,x01,1,100,,x00,x00,,,1,,,,,,.5,,,,,,,100,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU62GP1,GP,Gp,43,2,1,,,,,,,,,,,2,x01,1,,,x00,x00,x00,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
