DM,域名,DPU,SHEET,KKS,设备名称,驱动级,启动,中停,停止,已启,已停,远方,就地,故障
43,COM43,04,209,,SPT树脂分离塔树脂进口门,9,K0LDP11AA001YB01,#N/A,#N/A,K0LDP11AA001XB01,K0LDP11AA001XB02,K0LDP11GA001XB04,1,#N/A
43,COM43,04,219,,SPT树脂分离塔进压缩空气门,9,K0LDP11AA002YB01,#N/A,#N/A,K0LDP11AA002XB01,K0LDP11AA002XB02,K0LDP11GA001XB04,1,#N/A
43,COM43,04,229,,SPT树脂分离塔上部进水门,9,K0LDP11AA003YB01,#N/A,#N/A,K0LDP11AA003XB01,K0LDP11AA003XB02,K0LDP11GA001XB04,1,#N/A
43,COM43,04,239,,SPT树脂分离塔空气擦洗门,9,K0LDP11AA006YB01,#N/A,#N/A,K0LDP11AA006XB01,K0LDP11AA006XB02,K0LDP11GA001XB04,1,#N/A
43,COM43,04,249,,SPT树脂分离塔排气门,9,K0LDP11AA007YB01,#N/A,#N/A,K0LDP11AA007XB01,K0LDP11AA007XB02,K0LDP11GA001XB04,1,#N/A
43,COM43,04,259,,SPT树脂分离塔阴树脂出口门,9,K0LDP11AA008YB01,#N/A,#N/A,K0LDP11AA008XB01,K0LDP11AA008XB02,K0LDP11GA001XB04,1,#N/A
43,COM43,04,269,,SPT树脂分离塔托脂门,9,K0LDP11AA009YB01,#N/A,#N/A,K0LDP11AA009XB01,K0LDP11AA009XB02,K0LDP11GA001XB04,1,#N/A
43,COM43,04,279,,SPT树脂分离塔阳树脂出口门,9,K0LDP11AA010YB01,#N/A,#N/A,K0LDP11AA010XB01,K0LDP11AA010XB02,K0LDP11GA001XB04,1,#N/A
43,COM43,04,289,,SPT树脂分离塔反洗出水门,9,K0LDP11AA401YB01,#N/A,#N/A,K0LDP11AA401XB01,K0LDP11AA401XB02,K0LDP11GA001XB04,1,#N/A
43,COM43,04,299,,SPT树脂分离塔底部出水门,9,K0LDP11AA402YB01,#N/A,#N/A,K0LDP11AA402XB01,K0LDP11AA402XB02,K0LDP11GA001XB04,1,#N/A
43,COM43,04,309,,ART阴树脂再生塔进压缩空气门,9,K0LDP12AA001YB01,#N/A,#N/A,K0LDP12AA001XB01,K0LDP12AA001XB02,K0LDP12GA001XB04,1,#N/A
43,COM43,04,319,,ART阴树脂再生塔排气门,9,K0LDP12AA002YB01,#N/A,#N/A,K0LDP12AA002XB01,K0LDP12AA002XB02,K0LDP12GA001XB04,1,#N/A
43,COM43,04,329,,ART阴树脂再生塔上部进水门,9,K0LDP12AA003YB01,#N/A,#N/A,K0LDP12AA003XB01,K0LDP12AA003XB02,K0LDP12GA001XB04,1,#N/A
43,COM43,04,339,,ART阴树脂再生塔反洗进水门,9,K0LDP12AA005YB01,#N/A,#N/A,K0LDP12AA005XB01,K0LDP12AA005XB02,K0LDP12GA001XB04,1,#N/A
43,COM43,04,349,,ART阴树脂再生塔空气擦洗门,9,K0LDP12AA006YB01,#N/A,#N/A,K0LDP12AA006XB01,K0LDP12AA006XB02,K0LDP12GA001XB04,1,#N/A
43,COM43,04,359,,ART阴树脂再生塔底部出树脂门,9,K0LDP12AA007YB01,#N/A,#N/A,K0LDP12AA007XB01,K0LDP12AA007XB02,K0LDP12GA001XB04,1,#N/A
43,COM43,04,369,,ART阴树脂再生塔进碱门,9,K0LDP12AA008YB01,#N/A,#N/A,K0LDP12AA008XB01,K0LDP12AA008XB02,K0LDP12GA001XB04,1,#N/A
43,COM43,04,379,,ART阴树脂再生塔反洗出水门,9,K0LDP12AA401YB01,#N/A,#N/A,K0LDP12AA401XB01,K0LDP12AA401XB02,K0LDP12GA001XB04,1,#N/A
43,COM43,04,389,,ART阴树脂再生塔底部出水门,9,K0LDP12AA402YB01,#N/A,#N/A,K0LDP12AA402XB01,K0LDP12AA402XB02,K0LDP12GA001XB04,1,#N/A
43,COM43,04,399,,ART阴树脂再生塔就地取样阀,9,K0LDP12AA601YB01,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
43,COM43,04,409,,CRT阳树脂再生塔进压缩空气门,9,K0LDP13AA001YB01,#N/A,#N/A,K0LDP13AA001XB01,K0LDP13AA001XB02,K0LDP13GA001XB04,1,#N/A
43,COM43,04,419,,CRT阳树脂再生塔排气门,9,K0LDP13AA002YB01,#N/A,#N/A,K0LDP13AA002XB01,K0LDP13AA002XB02,K0LDP13GA001XB04,1,#N/A
43,COM43,04,429,,CRT阳树脂再生塔树脂进口门,9,K0LDP13AA003YB01,#N/A,#N/A,K0LDP13AA003XB01,K0LDP13AA003XB02,K0LDP13GA001XB04,1,#N/A
43,COM43,04,439,,CRT阳树脂再生塔上部进水门,9,K0LDP13AA004YB01,#N/A,#N/A,K0LDP13AA004XB01,K0LDP13AA004XB02,K0LDP13GA001XB04,1,#N/A
43,COM43,04,449,,CRT阳树脂再生塔反洗进水门,9,K0LDP13AA006YB01,#N/A,#N/A,K0LDP13AA006XB01,K0LDP13AA006XB02,K0LDP13GA001XB04,1,#N/A
43,COM43,04,459,,CRT阳树脂再生塔底部出树脂门,9,K0LDP13AA007YB01,#N/A,#N/A,K0LDP13AA007XB01,K0LDP13AA007XB02,K0LDP13GA001XB04,1,#N/A
43,COM43,04,469,,CRT阳树脂再生塔进酸门,9,K0LDP13AA008YB01,#N/A,#N/A,K0LDP13AA008XB01,K0LDP13AA008XB02,K0LDP13GA001XB04,1,#N/A
43,COM43,04,479,,CRT阳树脂再生塔空气擦洗门,9,K0LDP13AA009YB01,#N/A,#N/A,K0LDP13AA009XB01,K0LDP13AA009XB02,K0LDP13GA001XB04,1,#N/A
43,COM43,04,489,,CRT阳树脂再生塔反洗出水门,9,K0LDP13AA401YB01,#N/A,#N/A,K0LDP13AA401XB01,K0LDP13AA401XB02,K0LDP13GA001XB04,1,#N/A
43,COM43,04,499,,CRT阳树脂再生塔底部出水门,9,K0LDP13AA402YB01,#N/A,#N/A,K0LDP13AA402XB01,K0LDP13AA402XB02,K0LDP13GA001XB04,1,#N/A
